Believer;Imagine Dragons - Image: songs2\Believer - Imagine Dragons.jpg - URL: https://upload.wikimedia.org/wikipedia/en/5/5c/Imagine-Dragons-Believer-art.jpg
Money;Lisa - Image: songs2\Money - Lisa.jpg - URL: https://upload.wikimedia.org/wikipedia/en/0/0c/Lisa_-_Money.jpg
Old Town Road;Lil Nas X - Image: songs2\Old Town Road - Lil Nas X.jpg - URL: https://i.ytimg.com/vi/r7qovpFAGrQ/maxresdefault.jpg
Rich Flex;Drake & 21 Savage - Image: songs2\Rich Flex - Drake & 21 Savage.jpg - URL: https://media.pitchfork.com/photos/636509072145df8a03cc87b0/1:1/w_450%2Cc_limit/Drake.jpg
Shape of You;Ed Sheeran - Image: songs2\Shape of You - Ed Sheeran.jpg - URL: https://upload.wikimedia.org/wikipedia/en/b/b4/Shape_Of_You_%28Official_Single_Cover%29_by_Ed_Sheeran.png
Someone You Loved;Lewis Capaldi - Image: songs2\Someone You Loved - Lewis Capaldi.jpg - URL: https://i.ytimg.com/vi/bCuhuePlP8o/maxresdefault.jpg
As It Was;Harry Styles - Image: songs2\As It Was - Harry Styles.jpg - URL: https://i.ytimg.com/vi/H5v3kku4y6Q/maxresdefault.jpg
Sunflower;Post Malone & Swae Lee - Image: songs2\Sunflower - Post Malone & Swae Lee.jpg - URL: https://i.ytimg.com/vi/3JK3pTVg9h8/maxresdefault.jpg
Starboy;The Weeknd ft. Daft Punk - Image: songs2\Starboy - The Weeknd ft. Daft Punk.jpg - URL: https://upload.wikimedia.org/wikipedia/en/3/3f/The_Weeknd_-_Starboy_%28single%29.jpg
One Dance;Drake ft. Wizkid & Kyla - Image: songs2\One Dance - Drake ft. Wizkid & Kyla.jpg - URL: https://i1.sndcdn.com/artworks-000163513507-0mot64-t500x500.jpg
Stay;The Kid Laroi & Justin Bieber - Image: songs2\Stay - The Kid Laroi & Justin Bieber.jpg - URL: https://upload.wikimedia.org/wikipedia/en/0/0c/The_Kid_Laroi_and_Justin_Bieber_-_Stay.png
Dance Monkey;Tones And I - Image: songs2\Dance Monkey - Tones And I.jpg - URL: https://i.ytimg.com/vi/4iQxG8ZjYO8/maxresdefault.jpg
I'm Yours;Jason Mraz - Image: songs2\I'm Yours - Jason Mraz.jpg - URL: https://upload.wikimedia.org/wikipedia/en/3/35/ImYoursJasonMraz.jpg
Mood;24kGoldn ft. Iann Dior - Image: songs2\Mood - 24kGoldn ft. Iann Dior.jpg - URL: https://i.scdn.co/image/ab67616d0000b273ff8c985ecb3b7c5f847be357
Dynamite;BTS - Image: songs2\Dynamite - BTS.jpg - URL: https://variety.com/wp-content/uploads/2020/08/bts-dynamite-music-video.jpg
Payphone;Maroon 5 ft. Wiz Khalifa - Image: songs2\Payphone - Maroon 5 ft. Wiz Khalifa.jpg - URL: https://upload.wikimedia.org/wikipedia/en/7/7f/Maroon_5_Payphone_cover.png
Thank U, Next;Ariana Grande - Image: songs2\Thank U, Next - Ariana Grande.jpg - URL: https://upload.wikimedia.org/wikipedia/en/b/b2/Ariana_Grande_Thank_U_Next.png
When The Party's Over;Billie Eilish - Image: songs2\When The Party's Over - Billie Eilish.jpg - URL: https://i.ytimg.com/vi/pbMwTqkKSps/maxresdefault.jpg
Radioactive;Imagine Dragons - Image: songs2\Radioactive - Imagine Dragons.jpg - URL: https://i.ytimg.com/vi/ktvTqknDobU/maxresdefault.jpg
Kiss Me More;Doja Cat ft. SZA - Image: songs2\Kiss Me More - Doja Cat ft. SZA.jpg - URL: https://upload.wikimedia.org/wikipedia/en/b/b1/Doja_Cat_-_Kiss_Me_More.png
Blank Space;Taylor Swift - Image: songs2\Blank Space - Taylor Swift.jpg - URL: https://i.ytimg.com/vi/e-ORhEE9VVg/maxresdefault.jpg
Sugar;Maroon 5 - Image: songs2\Sugar - Maroon 5.jpg - URL: https://i.ytimg.com/vi/09R8_2nJtjg/maxresdefault.jpg
